Ticker,MarketCap,Debt,AssetValue,AssetVol,DistanceToDefault,ProbOfDefault
D05.SI,162082504704,414310500000.0,561663182391.2843,0.056098404598364696,6.041404316086589,7.638929993799978e-10
U11.SI,60144029696,260406500000.0,311292397272.486,0.03393517491114536,6.3094705352396,1.3999583159423087e-10
RR.L,95889014784,1918000000.0,97738824865.59183,0.3206411396803601,12.21243951153219,1.3338427340603956e-34
BP.L,89622233088,30657000000.0,119189296524.13377,0.21864559517150273,6.2665291155845075,1.8459219185572707e-10
AAPL,3736800591872,52166500000.0,3787112436304.409,0.31255827920142887,13.668722083834231,7.805636109789001e-43
AAL,7055354880,17294000000.0,23713912426.023335,0.16652447064664325,2.029954383477949,0.02118058815964212
